length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,LPS_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
64,0.200000,0.300000,0.046875,1.254120,22,35986.0,35979.2,us,5864070.0,,,,,576,2.65161,512,0,64,64,12307800.0
64,0.200000,1.100000,0.046875,1.268956,24,32380.3,32375.9,us,5973640.0,,,,,576,2.63667,512,0,64,64,12238500.0
64,0.200000,1.900000,0.312500,1.886960,24,31014.5,31012.2,us,6236320.0,,,,,576,2.62697,512,0,64,64,12193500.0
64,0.500000,0.300000,0.531250,1.799483,22,37776.1,37761.6,us,5587270.0,,,,,576,2.66584,512,0,64,64,12373900.0
64,0.500000,1.100000,0.437500,1.796125,18,39238.1,39154.5,us,6585960.0,,,,,576,2.64847,512,0,64,64,12293300.0
64,0.500000,1.900000,0.468750,1.985835,20,37465.3,37457.9,us,6195830.0,,,,,576,2.71827,512,0,64,64,12617300.0
64,0.800000,0.300000,0.937500,1.313437,24,33413.2,33409.6,us,5788820.0,,,,,576,2.67627,512,0,64,64,12422300.0
64,0.800000,1.100000,0.937500,1.318721,23,34357.7,34355.8,us,5874150.0,,,,,576,2.68098,512,0,64,64,12444200.0
64,0.800000,1.900000,0.765625,1.782737,22,32813.8,32811.0,us,6430290.0,,,,,576,2.63758,512,0,64,64,12242700.0
128,0.200000,0.300000,0.117188,1.466514,24,32345.1,32340.5,us,5980190.0,,,,,1152,2.62651,1024,0,128,128,12191300.0
128,0.200000,1.100000,0.117188,1.484135,24,32112.7,32109.8,us,6023160.0,,,,,1152,2.64066,1024,0,128,128,12257000.0
128,0.200000,1.900000,0.234375,1.778752,24,30733.2,30731.5,us,6293290.0,,,,,1152,2.628,1024,0,128,128,12198300.0
128,0.500000,0.300000,0.570312,1.901389,21,36540.4,36536.1,us,6049660.0,,,,,1152,2.68153,1024,0,128,128,12446700.0
128,0.500000,1.100000,0.453125,1.884144,22,36021.9,36014.2,us,5858360.0,,,,,1152,2.65353,1024,0,128,128,12316800.0
128,0.500000,1.900000,0.531250,1.992467,25,30208.9,30205.6,us,6146750.0,,,,,1152,2.64256,1024,0,128,128,12265900.0
128,0.800000,0.300000,0.898438,1.467590,24,32202.6,32140.7,us,6017350.0,,,,,1152,2.64527,1024,0,128,128,12278400.0
128,0.800000,1.100000,0.898438,1.428331,26,29148.7,29143.5,us,6125720.0,,,,,1152,2.62133,1024,0,128,128,12167300.0
128,0.800000,1.900000,0.781250,1.756171,22,35629.9,35627.7,us,5921920.0,,,,,1152,2.67939,1024,0,128,128,12436800.0
256,0.200000,0.300000,0.128906,1.525262,23,32681.3,32678.5,us,6175640.0,,,,,2304,2.64961,2048,0,256,256,12298600.0
256,0.200000,1.100000,0.113281,1.509625,24,32782.1,32778.2,us,5900330.0,,,,,2304,2.66249,2048,0,256,256,12358300.0
256,0.200000,1.900000,0.242188,1.798427,24,31890.6,31882.1,us,6066160.0,,,,,2304,2.65124,2048,0,256,256,12306100.0
256,0.500000,0.300000,0.492188,1.965017,23,33471.8,33469.5,us,6029690.0,,,,,2304,2.62338,2048,0,256,256,12176800.0
256,0.500000,1.100000,0.503906,1.954405,23,32301.1,32299.2,us,6248160.0,,,,,2304,2.64436,2048,0,256,256,12274200.0
256,0.500000,1.900000,0.460938,1.992467,24,32170.3,32167.3,us,6012380.0,,,,,2304,2.66376,2048,0,256,256,12364200.0
256,0.800000,0.300000,0.863281,1.571812,24,32109.9,32100.2,us,6024960.0,,,,,2304,2.63255,2048,0,256,256,12219400.0
256,0.800000,1.100000,0.875000,1.528614,22,35524.0,35520.2,us,5939830.0,,,,,2304,2.69653,2048,0,256,256,12516400.0
256,0.800000,1.900000,0.738281,1.828935,23,38018.2,38010.5,us,5309340.0,,,,,2304,2.65688,2048,0,256,256,12332300.0
512,0.200000,0.300000,0.152344,1.611668,22,35179.6,35174.9,us,5998140.0,,,,,4608,2.65782,4096,0,512,512,12336700.0
512,0.200000,1.100000,0.148438,1.603163,24,33192.0,33188.7,us,5827350.0,,,,,4608,2.65993,4096,0,512,512,12346500.0
512,0.200000,1.900000,0.232422,1.781338,25,30315.4,30311.3,us,6125310.0,,,,,4608,2.61425,4096,0,512,512,12134500.0
512,0.500000,0.300000,0.572266,1.976095,22,35696.5,35693.0,us,5911080.0,,,,,4608,2.6689,4096,0,512,512,12388100.0
512,0.500000,1.100000,0.562500,1.983277,24,31709.6,31705.3,us,6099990.0,,,,,4608,2.62484,4096,0,512,512,12183600.0
512,0.500000,1.900000,0.511719,1.998626,23,35210.3,35204.3,us,5732560.0,,,,,4608,2.63486,4096,0,512,512,12230100.0
512,0.800000,0.300000,0.857422,1.590210,25,29792.6,29787.2,us,6233090.0,,,,,4608,2.643,4096,0,512,512,12267900.0
512,0.800000,1.100000,0.853516,1.599118,24,32779.6,32776.1,us,5900700.0,,,,,4608,2.63451,4096,0,512,512,12228500.0
512,0.800000,1.900000,0.783203,1.753650,23,32377.1,32375.5,us,6233450.0,,,,,4608,2.63401,4096,0,512,512,12226200.0
1000,0.200000,0.300000,0.164000,1.640311,24,31808.3,31801.1,us,6081620.0,,,,,9000,2.65108,8000,0,1000,1000,12305400.0
1000,0.200000,1.100000,0.164000,1.638732,24,30465.0,30462.8,us,6348800.0,,,,,9000,2.62098,8000,0,1000,1000,12165700.0
1000,0.200000,1.900000,0.221000,1.758635,24,32714.5,32710.8,us,5912480.0,,,,,9000,2.63869,8000,0,1000,1000,12247900.0
1000,0.500000,0.300000,0.516000,1.985681,21,34217.4,34214.2,us,6460220.0,,,,,9000,2.63952,8000,0,1000,1000,12251700.0
1000,0.500000,1.100000,0.565000,1.985172,24,31930.1,31920.1,us,6058940.0,,,,,9000,2.62336,8000,0,1000,1000,12176700.0
1000,0.500000,1.900000,0.489000,1.997610,22,36043.1,36040.8,us,5854040.0,,,,,9000,2.66085,8000,0,1000,1000,12350700.0
1000,0.800000,0.300000,0.844000,1.622990,21,36173.4,36169.1,us,6111050.0,,,,,9000,2.71536,8000,0,1000,1000,12603800.0
1000,0.800000,1.100000,0.836000,1.641368,25,32170.1,32141.0,us,5776620.0,,,,,9000,2.63247,8000,0,1000,1000,12219000.0
1000,0.800000,1.900000,0.781000,1.756623,22,33185.5,33162.9,us,6362060.0,,,,,9000,2.64005,8000,0,1000,1000,12254200.0
2000,0.200000,0.300000,0.178500,1.674733,20,35460.3,35417.0,us,6552860.0,,,,,18000,2.63295,16000,0,2000,2000,12221200.0
2000,0.200000,1.100000,0.177500,1.673787,19,37185.7,37140.5,us,6577660.0,,,,,18000,2.63246,16000,0,2000,2000,12219000.0
2000,0.200000,1.900000,0.221000,1.761426,18,39838.0,39791.3,us,6480550.0,,,,,18000,2.66704,16000,0,2000,2000,12379500.0
2000,0.500000,0.300000,0.479000,1.993994,20,36432.4,36394.0,us,6376950.0,,,,,18000,2.61889,16000,0,2000,2000,12156000.0
2000,0.500000,1.100000,0.470500,1.994714,22,32057.3,32022.0,us,6588720.0,,,,,18000,2.63945,16000,0,2000,2000,12251400.0
2000,0.500000,1.900000,0.517500,1.998790,20,36076.8,36072.7,us,6433750.0,,,,,18000,2.66145,16000,0,2000,2000,12353500.0
2000,0.800000,0.300000,0.826000,1.666735,22,31748.4,31744.0,us,6646430.0,,,,,18000,2.63886,16000,0,2000,2000,12248700.0
2000,0.800000,1.100000,0.830500,1.655556,21,34340.5,34324.6,us,6439430.0,,,,,18000,2.67316,16000,0,2000,2000,12407900.0
2000,0.800000,1.900000,0.782500,1.755305,21,36653.9,36645.2,us,6031660.0,,,,,18000,2.69047,16000,0,2000,2000,12488200.0
