base_name,mean,min,max,mode,std_dev,var,range,mean_dev,q1,q2,q3,iqr,label
synth_kmp_64_0.2_0.3.csv,31784.578,30060.9,40315.1,30893.55,2183.4085203298487,4767272.766648979,10254.199999999997,1468.1585600000005,30621.675000000003,30893.55,31686.025,1064.3499999999985,real_time
synth_kmp_64_0.2_1.1.csv,29560.158,27838.2,38571.3,28299.25,2231.3926134006038,4979112.995138776,10733.100000000002,1743.0405599999997,28053.225,28299.25,30621.325,2568.100000000002,real_time
synth_kmp_64_0.2_1.9.csv,28965.54,27193.7,36278.7,28465.6,1939.690589780141,3762399.584081631,9084.999999999996,1417.4312,27568.25,28465.6,29573.05,2004.7999999999993,real_time
synth_kmp_64_0.5_0.3.csv,32963.652,30994.2,44136.9,32140.2,2474.272897957569,6122026.373567347,13142.7,1681.536960000001,31471.774999999998,32140.2,32963.325,1491.5499999999993,real_time
synth_kmp_64_0.5_1.1.csv,29022.638000000003,27861.0,39238.1,28169.199999999997,2082.9864893102354,4338832.714648979,11377.099999999999,1369.4872800000012,28033.574999999997,28169.199999999997,28751.25,717.6750000000029,real_time
synth_kmp_64_0.5_1.9.csv,32894.36600000001,31476.3,38206.3,32428.95,1615.2524621790587,2609040.5165755115,6730.000000000004,1069.2016000000056,32091.85,32428.95,32653.899999999998,562.0499999999993,real_time
synth_kmp_64_0.8_0.3.csv,29249.756,28391.3,34188.4,28669.300000000003,1501.139991726016,2253421.2747591836,5797.100000000002,966.3260800000007,28562.575,28669.300000000003,28950.15,387.5750000000007,real_time
synth_kmp_64_0.8_1.1.csv,30454.25,29406.2,37330.2,29819.4,1677.4305947198052,2813773.4001020393,7923.999999999996,1069.9819999999997,29620.8,29819.4,30301.850000000002,681.0500000000029,real_time
synth_kmp_64_0.8_1.9.csv,28971.543999999998,28023.1,34926.7,28341.45,1639.5108053567787,2687995.6808816334,6903.5999999999985,1102.0103999999988,28214.925,28341.45,28491.175,276.25,real_time
synth_kmp_128_0.2_0.3.csv,27768.41,26806.8,39374.8,27090.25,2051.75155687097,4209684.45112245,12568.000000000004,1084.1843999999999,26997.2,27090.25,27446.300000000003,449.1000000000022,real_time
synth_kmp_128_0.2_1.1.csv,28342.706000000002,27380.4,34797.5,27682.3,1600.574107894172,2561837.474861224,7417.0999999999985,1080.8731200000009,27556.1,27682.3,27939.375,383.27500000000146,real_time
synth_kmp_128_0.2_1.9.csv,27666.218000000004,26822.8,32469.5,27093.75,1314.9378049527202,1729061.430893878,5646.700000000001,899.5433600000022,26956.399999999998,27093.75,27569.8,613.4000000000015,real_time
synth_kmp_128_0.5_0.3.csv,32014.372000000003,30847.7,39079.3,31130.6,1908.6549744374702,3642963.8114449,8231.600000000002,1304.1785600000014,31080.0,31130.6,32141.7,1061.7000000000007,real_time
synth_kmp_128_0.5_1.1.csv,31664.408,30596.9,37553.6,30940.4,1714.066091746018,2938022.5668734685,6956.699999999997,1213.4611199999993,30853.4,30940.4,31103.875,250.47499999999854,real_time
synth_kmp_128_0.5_1.9.csv,27408.093999999997,26288.1,35426.6,26976.9,1625.9582763693163,2643740.3164938777,9138.5,959.0176799999984,26765.25,26976.9,27111.95,346.7000000000007,real_time
synth_kmp_128_0.8_0.3.csv,28540.362,27709.1,39114.3,28003.0,1841.6029897325425,3391501.571791839,11405.200000000004,955.6441600000007,27857.725,28003.0,28171.35,313.625,real_time
synth_kmp_128_0.8_1.1.csv,26040.17,25190.5,32153.2,25500.6,1394.3419904114235,1944189.58622449,6962.700000000001,858.650799999999,25420.7,25500.6,25838.525,417.8250000000007,real_time
synth_kmp_128_0.8_1.9.csv,31291.968000000004,30261.8,39215.6,30574.65,1974.1692428369117,3897344.1993632657,8953.8,1269.2409600000033,30452.350000000002,30574.65,30767.35,314.99999999999636,real_time
synth_kmp_256_0.2_0.3.csv,29343.6,28305.5,38987.9,28597.5,2134.5794513874894,4556429.434285715,10682.400000000001,1276.447999999999,28495.35,28597.5,28832.350000000002,337.00000000000364,real_time
synth_kmp_256_0.2_1.1.csv,29544.0,28371.8,38871.4,28908.6,1854.9800498404618,3440950.9853061223,10499.600000000002,1087.3400000000001,28660.1,28908.6,29368.875,708.7750000000015,real_time
synth_kmp_256_0.2_1.9.csv,28382.774000000005,27527.0,40845.3,27786.85,2080.221334359027,4327320.799922451,13318.300000000003,1028.4792800000039,27716.35,27786.85,27941.225,224.875,real_time
synth_kmp_256_0.5_0.3.csv,29832.826,28922.3,38238.6,29254.5,1638.4586970574708,2684546.901963265,9316.3,916.5445600000007,29147.475,29254.5,29735.45,587.9750000000022,real_time
synth_kmp_256_0.5_1.1.csv,28867.363999999998,28064.7,38025.6,28375.9,1613.7748497285259,2604269.265616326,9960.899999999998,827.5609599999988,28273.475,28375.9,28560.25,286.77500000000146,real_time
synth_kmp_256_0.5_1.9.csv,43185.61,28077.7,738383.0,28607.300000000003,100332.55102027263,10066620794.235611,710305.3,27807.8956,28317.425,28607.300000000003,28802.4,484.9750000000022,real_time
synth_kmp_256_0.8_0.3.csv,28801.557999999997,27344.7,56988.8,27658.3,4445.4079181569205,19761651.55881225,29644.100000000002,1996.9940799999983,27543.575,27658.3,27805.725,262.1499999999978,real_time
synth_kmp_256_0.8_1.1.csv,32638.386000000002,30724.3,78806.9,31097.75,6975.557295650437,48658399.58490203,48082.59999999999,2659.2673600000016,30961.600000000002,31097.75,31390.024999999998,428.42499999999563,real_time
