snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ChosenAlgorithm,ComparisonsPerChar,LPS_Bytes,MaskTable_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
48,2000,1288790,systematic,0.49,1.9979,41,15109.9,15108.2,us,7493360.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,43,14479.7,14478.9,us,7455340.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,52,15201.2,15200.8,us,5872210.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,42,14411.4,14410.2,us,7669280.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,49,13738.2,13738.5,us,6895030.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13863.2,13862.5,us,6565400.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13700.3,13700.6,us,6643000.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,49,13803.2,13803.1,us,6862760.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,49,13764.1,13764.5,us,6882040.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13630.3,13630.0,us,6810960.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13941.7,13941.5,us,6528200.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13679.6,13679.3,us,6653320.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13743.1,13742.4,us,6755250.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13634.8,13635.0,us,6674940.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,14248.8,14248.0,us,6387750.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13790.2,13790.4,us,6731710.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,52,13598.2,13598.0,us,6564390.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13601.7,13601.8,us,6691210.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13631.0,13630.2,us,6677300.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,52,13585.3,13584.8,us,6570740.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13903.2,13903.5,us,6546010.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,48,13757.7,13757.7,us,7028850.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,52,13753.4,13752.7,us,6490540.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13586.0,13585.1,us,6833440.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13562.9,13562.5,us,6710620.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13691.4,13690.4,us,6647910.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,14047.3,14045.3,us,6479940.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13782.0,13782.2,us,6735740.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13635.2,13631.2,us,6810350.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13726.9,13723.0,us,6632130.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13910.8,13907.8,us,6674870.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13597.5,13595.0,us,6694580.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13535.6,13532.8,us,6859860.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13703.1,13700.1,us,6643230.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13803.9,13802.2,us,6594060.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,14052.3,14050.3,us,6607200.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13687.1,13685.7,us,6650200.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,49,13959.1,13957.7,us,6786760.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13493.1,13491.7,us,6745850.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,15048.6,15046.2,us,6169850.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13673.8,13672.6,us,6789710.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,45,14935.4,14934.4,us,6906740.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,52,13735.9,13734.7,us,6499040.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,51,13735.2,13733.2,us,6627190.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13872.8,13871.3,us,6692440.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13804.6,13804.0,us,6725090.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,44,15722.1,15721.1,us,6710220.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
48,2000,1288790,systematic,0.49,1.9979,50,13710.4,13709.7,us,6771320.0,,,,,4048,2048,1,0.617079,0,0,1,2000,2000,2864260.0
