snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ChosenAlgorithm,ComparisonsPerChar,LPS_Bytes,MaskTable_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
3,64,1289330,systematic,0.4688,1.9079,115,5362.78,5361.77,us,7527780.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,115,5807.24,5806.99,us,6950630.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,118,6442.27,6441.6,us,6106570.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,102,5724.09,5723.85,us,7950320.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,118,5688.34,5688.18,us,6915400.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,106,6112.14,6110.95,us,7165690.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,109,6322.31,6321.97,us,6735870.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,121,5505.07,5504.5,us,6968980.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,118,5542.66,5541.93,us,7097890.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,121,5639.69,5638.7,us,6803120.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,122,5870.14,5869.37,us,6482180.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,125,5726.83,5725.58,us,6485500.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,123,5672.48,5671.65,us,6653620.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,117,5683.58,5682.96,us,6980920.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,120,5823.57,5823.62,us,6642000.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,110,5868.26,5867.95,us,7191060.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,123,5541.69,5541.36,us,6810060.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,90,5701.01,5700.02,us,9048030.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,102,6645.01,6644.67,us,6848560.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,88,7749.95,7750.19,us,6805780.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,100,6804.13,6801.91,us,6824040.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
3,64,1289330,systematic,0.4688,1.9079,112,5835.53,5835.37,us,7102080.0,,,,,2112,0,3,2.0,0,2048,1,64,64,9283300.0
