base_name,length,gc,entropy,mean,min,max,median,mode,std_dev,var,range,mean_dev,q1,q2,q3,iqr,label
snips_kmp_64_0.3906_1.915.csv,64,0.3906,1.915,30683.834,29505.8,41550.8,30263.85,29505.8,1787.4546832685794,3194994.244738777,12045.000000000004,849.4450399999997,30076.449999999997,30263.85,30500.625,424.1750000000029,real_time
snips_kmp_64_0.4688_1.9079.csv,64,0.4688,1.9079,31080.158,29554.3,36069.8,30570.0,29554.3,1440.3089718259932,2074489.9343224496,6515.500000000004,1102.0559199999998,30053.0,30570.0,31566.199999999997,1513.199999999997,real_time
snips_kmp_256_0.5039_1.9648.csv,256,0.5039,1.9648,32362.667999999998,31192.1,37793.2,31943.1,31192.1,1356.0196277310429,1838789.2307918363,6601.0999999999985,900.1951999999993,31534.75,31943.1,32499.075,964.3250000000007,real_time
snips_kmp_128_0.5625_1.9819.csv,128,0.5625,1.9819,29108.816000000003,28117.8,38805.3,28543.449999999997,28117.8,1717.2752540306763,2949034.2981061237,10687.500000000004,960.3790400000012,28354.2,28543.449999999997,29287.175,932.9749999999985,real_time
snips_kmp_512_0.4961_1.9823.csv,512,0.4961,1.9823,30588.734000000004,29826.7,34449.5,30455.15,29826.7,755.8365398304434,571288.8749428574,4622.799999999999,453.7195200000013,30186.725,30455.15,30700.25,513.5250000000015,real_time
snips_kmp_2000_0.5805_1.9782.csv,2000,0.5805,1.9782,30745.002,29580.4,36642.9,30207.15,29580.4,1346.134484819555,1812078.0512204084,7062.5,956.4269600000003,29977.175,30207.15,30812.325,835.1500000000015,real_time
snips_kmp_64_0.4688_1.9576.csv,64,0.4688,1.9576,32746.996,30477.9,38211.3,32189.2,30477.9,2135.593075390802,4560757.783657144,7733.4000000000015,1668.76304,31062.85,32189.2,33612.625,2549.7750000000015,real_time
snips_kmp_256_0.5664_1.987.csv,256,0.5664,1.987,31367.904000000002,30348.1,37669.5,30909.449999999997,30348.1,1388.2640444549918,1927277.0571265311,7321.4000000000015,847.8897600000013,30648.175,30909.449999999997,31419.45,771.2750000000015,real_time
snips_kmp_512_0.5_1.9985.csv,512,0.5,1.9985,31966.99,30729.3,38849.8,31261.95,30729.3,1620.4994763205275,2626018.552755104,8120.500000000004,1137.7620000000009,31047.175,31261.95,32199.275,1152.1000000000022,real_time
snips_kmp_2000_0.4935_1.9998.csv,2000,0.4935,1.9998,29396.93,28272.0,33543.0,29079.6,28272.0,980.1550225680153,960703.8682653065,5271.0,701.2584000000002,28725.35,29079.6,29793.1,1067.75,real_time
snips_kmp_64_0.5312_1.9362.csv,64,0.5312,1.9362,32203.582000000002,30940.0,46435.0,31592.85,30940.0,2476.3729524175687,6132422.999465307,15495.0,1103.7144800000015,31356.5,31592.85,31900.899999999998,544.3999999999978,real_time
snips_kmp_128_0.5625_1.9808.csv,128,0.5625,1.9808,29908.941999999995,28999.6,33710.8,29597.0,28999.6,939.5702346025128,882792.2257510208,4711.200000000004,623.8958399999979,29423.9,29597.0,29875.85,451.9499999999971,real_time
snips_kmp_512_0.5117_1.9981.csv,512,0.5117,1.9981,30083.504,28609.2,44163.2,29237.5,28609.2,2710.198610612009,7345176.508963264,15553.999999999996,1469.8547200000005,29001.825,29237.5,29578.0,576.1749999999993,real_time
snips_kmp_256_0.4727_1.9926.csv,256,0.4727,1.9926,29895.254000000004,28975.6,34408.7,29561.35,28975.6,1026.0237541925364,1052724.7441673465,5433.0999999999985,704.4977600000021,29282.625,29561.35,30101.15,818.5250000000015,real_time
snips_kmp_1000_0.515_1.9986.csv,1000,0.515,1.9986,28692.688000000002,27846.7,32557.3,28277.949999999997,27846.7,976.3629604124205,953284.6304653058,4710.5999999999985,679.4862400000009,28147.9,28277.949999999997,28775.25,627.3499999999985,real_time
snips_kmp_512_0.4824_1.9917.csv,512,0.4824,1.9917,28780.969999999994,27828.8,35357.6,28366.15,27828.8,1243.7169128405847,1546831.7592857142,7528.799999999999,732.7499999999977,28180.4,28366.15,28880.725,700.3249999999971,real_time
snips_kmp_64_0.4219_1.9816.csv,64,0.4219,1.9816,31038.379999999994,29999.6,38801.0,30573.65,30344.5,1426.1862159090515,2034007.1224489799,8801.400000000001,792.1119999999977,30424.8,30573.65,31127.975,703.1749999999993,real_time
snips_kmp_256_0.4961_1.9899.csv,256,0.4961,1.9899,30991.056,29959.0,35837.4,30442.25,29959.0,1404.3860590743727,1972300.2029224478,5878.4000000000015,906.2766399999999,30259.475000000002,30442.25,31145.875,886.3999999999978,real_time
snips_kmp_128_0.5156_1.9957.csv,128,0.5156,1.9957,32548.363999999998,31431.6,41117.3,32105.550000000003,31431.6,1438.140502028752,2068248.1035755107,9685.700000000004,824.900479999999,31845.375,32105.550000000003,32923.375,1078.0,real_time
snips_kmp_256_0.543_1.9941.csv,256,0.543,1.9941,31439.847999999998,30264.7,39508.7,30736.9,30264.7,1810.0852856488414,3276408.7413224475,9243.999999999996,1220.288959999999,30533.725,30736.9,31295.350000000002,761.6250000000036,real_time
snips_kmp_1000_0.573_1.9835.csv,1000,0.573,1.9835,31523.787999999997,30300.9,37371.0,30854.45,30300.9,1622.147823310005,2631363.5606693868,7070.0999999999985,1106.862239999998,30653.85,30854.45,31508.95,855.1000000000022,real_time
snips_kmp_128_0.3828_1.9339.csv,128,0.3828,1.9339,32348.985999999997,31402.3,37441.4,31964.550000000003,31402.3,1202.9436947160668,1447073.5326571418,6039.100000000002,713.8529599999988,31769.449999999997,31964.550000000003,32517.9,748.4500000000044,real_time
snips_kmp_1000_0.446_1.9902.csv,1000,0.446,1.9902,31138.854,30066.7,34674.0,30651.9,30066.7,1107.5318485695652,1226626.7955959183,4607.299999999999,837.3555999999996,30530.325,30651.9,31250.625,720.2999999999993,real_time
snips_kmp_2000_0.5_1.9986.csv,2000,0.5,1.9986,31055.72,30214.6,34686.5,30716.9,30214.6,977.6982122749912,955893.7942857138,4471.9000000000015,636.2416000000004,30506.875,30716.9,31145.025,638.1500000000015,real_time
snips_kmp_128_0.3984_1.9681.csv,128,0.3984,1.9681,30550.192000000003,29825.4,34321.3,30336.85,29825.4,767.6713765561888,589319.3423836738,4495.9000000000015,494.18816000000135,30113.925,30336.85,30631.05,517.125,real_time
snips_kmp_2000_0.4945_1.9997.csv,2000,0.4945,1.9997,29813.737999999998,28986.2,32748.9,29473.699999999997,28986.2,913.2741423793711,834069.6591387758,3762.7000000000007,593.414719999999,29324.375,29473.699999999997,29843.35,518.9749999999985,real_time
snips_kmp_1000_0.495_1.9967.csv,1000,0.495,1.9967,30868.420000000006,29916.9,34158.7,30551.65,29916.9,992.6174586333216,985289.4191836738,4241.799999999996,700.4280000000024,30260.75,30551.65,31134.85,874.0999999999985,real_time
