length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
64,0.5,0.3,0.53125,1.799483,58,10864.4,10863.8,us,7366540.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,60,10504.7,10504.3,us,7364710.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,58,11658.1,11657.8,us,6864820.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,61,10465.8,10465.5,us,7270830.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,53,10880.0,10879.2,us,8050090.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,49,31961.4,15963.8,us,5933880.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,60,10805.5,10804.4,us,7160150.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,55,10545.7,10544.5,us,8003570.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,50,11450.3,11448.4,us,8108810.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,60,10930.1,10929.8,us,7077960.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,61,10501.0,10500.0,us,7246920.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,66,11081.2,11079.7,us,6347460.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,48,14206.7,14204.1,us,6807980.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,61,10590.5,10589.2,us,7185860.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,55,10655.2,10654.7,us,7920830.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,54,12262.4,12261.1,us,7010490.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,60,11521.8,11520.4,us,6715130.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,45,11399.3,11397.5,us,9050040.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,59,10916.9,10914.8,us,7207850.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,58,11159.5,11159.0,us,7171630.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,52,11234.6,11233.8,us,7945880.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,57,11351.8,11348.5,us,7175630.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,61,11222.9,11220.7,us,6781440.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,61,10698.5,10696.0,us,7114100.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,65,10539.2,10537.2,us,6776980.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,63,10898.4,10895.9,us,6761880.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,56,11809.0,11806.5,us,7020400.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,59,10720.5,10718.4,us,7339930.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,57,12585.2,12581.5,us,6472390.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,57,10651.2,10649.3,us,7646780.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,56,12857.6,12820.4,us,6465220.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
64,0.5,0.3,0.53125,1.799483,56,13813.0,13811.8,us,6001140.0,,,,,2112,2048,0.47619,0,64,64,2210310.0
