length,gc,entropy,obs_gc,obs_entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
2000,0.5,0.3,0.479,1.993994,42,15392.0,15390.6,us,7180730.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,15214.5,15213.0,us,7095610.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,16575.5,16573.9,us,6830660.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15178.7,15176.7,us,7459520.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,39,15994.8,15993.4,us,7441610.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,42,15675.5,15674.7,us,7050560.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,40,16677.5,16675.4,us,6958840.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,15150.0,15148.8,us,7125650.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,16715.4,16713.2,us,6458700.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15412.1,15411.1,us,7346070.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15145.5,15143.9,us,7475670.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,40,16746.3,16744.9,us,6929940.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,42,16694.6,16693.0,us,6620480.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,38,16913.2,16911.1,us,7223000.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,44,15800.5,15800.5,us,6676520.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15425.2,15424.1,us,7339860.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15283.3,15282.2,us,7408050.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,39,17872.2,17821.2,us,6678370.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,18059.5,18057.1,us,6269600.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,15365.1,15363.6,us,7026050.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,40,19241.8,19239.6,us,6031390.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,16813.1,16808.3,us,6735420.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15192.9,15189.7,us,6643030.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15158.9,15156.3,us,6657640.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15117.1,15114.6,us,6676040.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15158.5,15156.0,us,6657800.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15198.9,15196.7,us,6639960.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,47,15621.7,15618.8,us,6323060.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,44,15214.8,15213.3,us,6934210.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,15250.3,15248.3,us,7424510.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,44,15155.3,15152.5,us,6962010.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,16598.5,16596.2,us,6504230.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,42,16693.6,16690.0,us,6621640.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,29,23665.5,23250.3,us,6884070.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,29,24660.7,23964.8,us,6678840.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,43,15052.4,15051.2,us,7171860.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,29,25230.1,24761.6,us,6463910.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,31,22386.6,22254.9,us,6727970.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,42,16720.3,16712.2,us,6612880.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,29,23575.4,23191.9,us,6901410.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,30,23053.3,22929.7,us,6747660.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,30,24224.6,23449.6,us,6598050.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,36,19866.4,19865.4,us,6490410.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,16349.1,16347.8,us,6925140.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,40,15070.9,15070.5,us,7699900.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,44,15249.5,15248.1,us,6918360.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,41,17023.6,17022.5,us,6650660.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,4,172906.0,172847.0,us,6713530.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,42,15274.9,15274.5,us,7235300.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
2000,0.5,0.3,0.479,1.993994,46,15362.8,15361.4,us,6568780.0,,,,,4048,2048,0.694465,0,2000,2000,3223460.0
