snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,LPS_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
18,128,4383654,systematic,0.3828,1.9339,22,32522.7,32520.2,us,6487790.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32789.2,32786.0,us,6741630.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,33113.2,33109.7,us,6675710.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32542.0,32543.3,us,6791900.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32888.0,32888.4,us,6720640.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32592.8,32592.9,us,6781580.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32597.4,32596.9,us,6472530.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31957.8,31957.0,us,6602120.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32167.5,32164.2,us,6559600.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,31754.2,31753.1,us,6960930.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31777.4,31776.0,us,6639740.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32003.5,32002.3,us,6592790.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31770.5,31769.8,us,6641030.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31960.7,31959.8,us,6601550.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32480.0,32478.1,us,6496190.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32118.4,32115.8,us,6569480.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32259.3,32257.7,us,6540590.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32240.3,32237.3,us,6856370.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32021.0,32019.4,us,6589260.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31932.5,31930.3,us,6607650.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32037.8,32036.0,us,6585860.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31968.4,31966.4,us,6600190.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,31560.0,31558.4,us,7003860.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,33369.1,33364.5,us,6323610.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31875.7,31874.0,us,6619320.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,18,37441.4,37432.7,us,6888880.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31817.4,31818.5,us,6630870.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,21,32484.6,32485.5,us,6803990.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,32538.9,32539.2,us,6484000.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31769.1,31769.1,us,6641180.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,20,31869.4,31867.0,us,7282860.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
18,128,4383654,systematic,0.3828,1.9339,22,31863.2,31862.7,us,6621670.0,,,,,1152,2.70831,1024,1,128,128,12571100.0
