snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,ComparisonsPerChar,LPS_Bytes,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
12,128,1289310,systematic,0.4453,1.9489,24,29311.9,29309.8,us,6598540.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29511.8,29509.6,us,6553870.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,20,35329.0,35324.3,us,6570050.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28978.5,28979.8,us,6673690.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29518.5,29518.8,us,6551820.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29658.4,29659.3,us,6520800.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28675.2,28675.3,us,6744550.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28437.4,28437.4,us,6800980.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28614.5,28613.8,us,6759050.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28901.4,28901.0,us,6691890.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,25,28677.2,28676.2,us,6474560.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28352.5,28350.6,us,6821790.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,25,28527.6,28525.3,us,6508830.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,25,28638.8,28637.4,us,6483330.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,21,29379.8,29376.2,us,7524140.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28321.5,28319.9,us,6829190.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28514.0,28512.2,us,6783140.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28818.7,28817.3,us,6711320.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28896.1,28892.2,us,6693910.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29325.1,29323.3,us,6595510.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28580.3,28577.9,us,6767540.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29263.1,29259.9,us,6609790.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,25,29060.3,29056.2,us,6389890.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28933.7,28931.4,us,6684850.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28707.7,28704.7,us,6737660.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,23,33052.9,33047.1,us,6106770.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28509.9,28512.0,us,6783190.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,29207.3,29207.9,us,6621570.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28820.9,28821.1,us,6710430.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
12,128,1289310,systematic,0.4453,1.9489,24,28681.3,28681.3,us,6743140.0,,,,,1152,2.64747,1024,1,128,128,12288700.0
