2025-12-02T03:06:19+00:00
Running ./benchmark_runner
Run on (8 X 3765.65 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1280 KiB (x4)
  L3 Unified 10240 KiB (x1)
Load Average: 2.08, 1.53, 1.40
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"AllocatedMemory_Bytes","ComparisonsPerChar","MaskTable_Bytes","Matches","PatternLength","ReverseComplement_Bytes","TotalComparisons"
"len512_GC0.500000_E1.900000_obsGC0.511719_obsE1.998626_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len512_GC0.800000_E0.300000_obsGC0.857422_obsE1.590210_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len512_GC0.800000_E1.100000_obsGC0.853516_obsE1.599118_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len512_GC0.800000_E1.900000_obsGC0.783203_obsE1.753650_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.200000_E0.300000_obsGC0.164000_obsE1.640311_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.200000_E1.100000_obsGC0.164000_obsE1.638732_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.200000_E1.900000_obsGC0.221000_obsE1.758635_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.500000_E0.300000_obsGC0.516000_obsE1.985681_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.500000_E1.100000_obsGC0.565000_obsE1.985172_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.500000_E1.900000_obsGC0.489000_obsE1.997610_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.800000_E0.300000_obsGC0.844000_obsE1.622990_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.800000_E1.100000_obsGC0.836000_obsE1.641368_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len1000_GC0.800000_E1.900000_obsGC0.781000_obsE1.756623_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.200000_E0.300000_obsGC0.178500_obsE1.674733_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.200000_E1.100000_obsGC0.177500_obsE1.673787_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.200000_E1.900000_obsGC0.221000_obsE1.761426_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.500000_E0.300000_obsGC0.479000_obsE1.993994_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.500000_E1.100000_obsGC0.470500_obsE1.994714_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.500000_E1.900000_obsGC0.517500_obsE1.998790_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.800000_E0.300000_obsGC0.826000_obsE1.666735_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.800000_E1.100000_obsGC0.830500_obsE1.655556_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
"len2000_GC0.800000_E1.900000_obsGC0.782500_obsE1.755305_#0/BitParallel",,,,,,,,true,"Pattern too long for Bit-Parallel (>64)"
