base_name,mean,min,max,mode,std_dev,var,range,mean_dev,q1,q2,q3,iqr,label
synth_boyer_moore_64_0.2_0.3.csv,5932.335800000001,4871.26,27788.9,5228.1,3264.2614887004097,10655403.066612614,22917.64,1109.3653440000005,5038.045,5228.1,5782.7925000000005,744.7475000000004,real_time
synth_boyer_moore_64_0.2_1.1.csv,11508.742,10200.5,20916.3,11098.05,1704.5674039857186,2905550.034730612,10715.8,1089.75376,10401.725,11098.05,12185.875,1784.1499999999996,real_time
synth_boyer_moore_64_0.2_1.9.csv,20637.647999999997,18505.7,45288.9,19739.7,3820.585140420248,14596870.815200008,26783.2,1758.215199999999,18977.025,19739.7,21215.3,2238.274999999998,real_time
synth_boyer_moore_64_0.5_0.3.csv,11921.774,10465.8,31961.4,11228.75,3061.919873304116,9375353.310534695,21495.600000000002,1366.4235999999999,10708.425,11228.75,12230.725,1522.300000000001,real_time
synth_boyer_moore_64_0.5_1.1.csv,16850.658,14541.9,43865.8,15882.85,4220.7043774798485,17814345.442077555,29323.9,2028.24392,14813.625,15882.85,17664.325,2850.7000000000007,real_time
synth_boyer_moore_64_0.5_1.9.csv,19018.14,16481.8,47032.3,17692.0,4501.623622785949,20264615.241224494,30550.500000000004,2416.6848,16789.025,17692.0,20335.100000000002,3546.0750000000007,real_time
synth_boyer_moore_64_0.8_0.3.csv,7664.935799999999,6602.67,19173.8,7217.115,1866.6479433991524,3484374.544596285,12571.13,1013.6221199999997,6778.015,7217.115,8138.12,1360.1049999999996,real_time
synth_boyer_moore_64_0.8_1.1.csv,11206.542,9617.05,29515.2,10272.599999999999,2946.9331746597522,8684415.135910206,19898.15,1559.0308,9791.842499999999,10272.599999999999,11813.475,2021.6325000000015,real_time
synth_boyer_moore_64_0.8_1.9.csv,14121.037999999999,12419.6,32207.6,12975.650000000001,3026.4756849827545,9159555.071791833,19788.0,1738.2787199999993,12584.05,12975.650000000001,14941.675,2357.625,real_time
synth_boyer_moore_128_0.2_0.3.csv,9836.176800000001,8677.89,23149.7,9053.875,2165.544170337661,4689581.553683429,14471.810000000001,1168.6399200000005,8802.86,9053.875,10181.725,1378.8649999999998,real_time
synth_boyer_moore_128_0.2_1.1.csv,11463.967999999999,10199.2,25083.0,10678.55,2239.8971189420504,5017139.103444898,14883.8,1214.0497599999997,10373.85,10678.55,11680.225,1306.375,real_time
synth_boyer_moore_128_0.2_1.9.csv,12420.956,10913.0,26378.4,11437.6,2372.4516814640574,5628526.980881632,15465.400000000001,1434.9539200000002,11069.975,11437.6,13303.875,2233.8999999999996,real_time
synth_boyer_moore_128_0.5_0.3.csv,22319.98,19438.4,53756.7,20688.35,5114.5638526123585,26158763.402448975,34318.299999999996,2837.7327999999998,19729.95,20688.35,23987.125,4257.174999999999,real_time
synth_boyer_moore_128_0.5_1.1.csv,15768.86,13665.7,36749.3,14938.0,3467.477493710342,12023400.169387756,23083.600000000002,1921.7056000000002,13851.45,14938.0,16762.325,2910.875,real_time
synth_boyer_moore_128_0.5_1.9.csv,17903.734,15261.7,37072.0,16673.9,3747.1631923422947,14041231.990044897,21810.3,2428.45552,15518.550000000001,16673.9,19085.1,3566.5499999999975,real_time
synth_boyer_moore_128_0.8_0.3.csv,13758.803999999998,11668.0,29562.1,12657.2,3173.2221930577575,10069339.086514285,17894.1,2000.7734399999995,11797.925,12657.2,14499.9,2701.9750000000004,real_time
synth_boyer_moore_128_0.8_1.1.csv,4780.5914,4025.24,10673.1,4399.15,1127.9538017352575,1272279.7788490204,6647.860000000001,673.7747040000002,4124.0325,4399.15,5000.95,876.9174999999996,real_time
synth_boyer_moore_128_0.8_1.9.csv,18787.71,16197.2,39460.1,17820.65,3920.092223261788,15367123.03887755,23262.899999999998,2277.1023999999998,16559.275,17820.65,19191.2,2631.9249999999993,real_time
synth_boyer_moore_256_0.2_0.3.csv,8336.1384,7193.1,18472.8,7859.045,1820.8315145271808,3315427.404295347,11279.699999999999,1012.3918880000001,7346.79,7859.045,8591.5875,1244.7974999999997,real_time
synth_boyer_moore_256_0.2_1.1.csv,4709.3998,3980.11,11821.5,4459.795,1218.363579224852,1484409.811181592,7841.389999999999,648.652544,4022.4275,4459.795,4886.922500000001,864.4950000000008,real_time
synth_boyer_moore_256_0.2_1.9.csv,13723.082,11810.5,34511.9,12996.2,3393.90747331516,11518607.937424494,22701.4,1711.7995200000003,12003.2,12996.2,14302.925000000001,2299.7250000000004,real_time
synth_boyer_moore_256_0.5_0.3.csv,13041.25,11363.7,32277.7,12432.099999999999,3101.617638657056,9620031.976428572,20914.0,1500.688,11504.400000000001,12432.099999999999,13419.425,1915.0249999999978,real_time
synth_boyer_moore_256_0.5_1.1.csv,16039.39,13865.4,41888.0,15118.3,4117.780819079568,16956118.873979595,28022.6,1945.2987999999998,14196.45,15118.3,16306.0,2109.5499999999993,real_time
synth_boyer_moore_256_0.5_1.9.csv,21059.032000000003,18213.0,54820.9,19396.1,5705.470776778144,32552396.784669396,36607.9,2824.8768000000014,18458.05,19396.1,21156.0,2697.9500000000007,real_time
synth_boyer_moore_256_0.8_0.3.csv,12754.282,11083.5,31825.7,12024.900000000001,3210.784476823096,10309136.956608163,20742.2,1622.7693599999998,11251.725,12024.900000000001,12772.75,1521.0249999999996,real_time
