snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
36,512,4383297,systematic,0.4824,1.9917,37,18821.4,18819.9,us,6665810.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,33,22557.2,22539.0,us,6240570.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,19096.4,19095.8,us,7149170.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,23043.1,23019.9,us,5930490.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,19267.9,19263.9,us,7086780.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,21613.3,21600.8,us,6320100.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,32,21792.4,21774.4,us,6661570.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,21494.9,21480.1,us,6355600.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,31,21096.7,21084.7,us,7101400.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,34,21514.6,21501.1,us,6349410.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,37,19392.7,19388.3,us,6470400.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,37,19461.4,19456.1,us,6447840.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
36,512,4383297,systematic,0.4824,1.9917,38,19308.6,19304.7,us,6327400.0,,,,,2560,2048,0.847269,1,512,512,3932730.0
