snip,length,start,method,gc,entropy,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,AllocatedMemory_Bytes,BadCharTable_Bytes,ComparisonsPerChar,Matches,PatternLength,ReverseComplement_Bytes,TotalComparisons
32,512,2320569,systematic,0.5,1.9985,31,22278.9,22276.4,us,6721500.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,32,21515.3,21497.9,us,6747260.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,33,19088.1,19084.6,us,7370150.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,35,20871.2,20858.7,us,6357970.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,34,18658.8,18657.6,us,7317070.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,29,21574.3,21558.6,us,7424260.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,34,21390.4,21378.1,us,6385950.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,30,22523.1,22499.7,us,6876620.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,34,22917.7,22860.0,us,5971970.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,33,20659.2,20647.2,us,6812350.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,37,19266.5,19261.2,us,6513090.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,37,18670.2,18666.2,us,6720710.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,37,18292.2,18291.2,us,6858500.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,36,19004.8,18993.8,us,6788250.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,38,18559.8,18552.7,us,6583880.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,36,18651.6,18643.7,us,6915720.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,36,18639.5,18633.8,us,6919390.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,38,19309.8,19300.1,us,6328930.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,38,18053.5,18049.2,us,6767560.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,36,18975.6,18969.9,us,6796790.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,37,18592.3,18589.3,us,6748500.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
32,512,2320569,systematic,0.5,1.9985,37,18685.8,18680.5,us,6715560.0,,,,,2560,2048,0.799742,1,512,512,3712130.0
